Birmingham Museum & Art Gallery;ChIJo0dMkYy8cEgRRJR-gJ-142Y;1885;Birmingham Museum and Art Gallery is housed in a Grade II* listed city centre landmark building.;Victorian Baroque & Edwardian Rennaissance;Yeoville Thomason
St. Philip's Cathedral;ChIJyZhgKIy8cEgRb68F_0J9zwQ;1715;St Philip's is Grade 1 listed and one of the oldest buildings in the city still used for its original purpose.;Elegant English Baroque;Thomas Archer
Victoria Law Courts;ChIJ9Tph9Y-8cEgR_xGrGNA_ZTA;1891;The Victoria Law Courts is a Grade I listed red brick and terracotta building that now houses Birmingham Magistrates' Court.;Victorian;Aston Webb & Ingress Bell
Great Western Arcade;ChIJDZiQ9468cEgR1XmYBKwQ5vI;1876;The Great Western Arcade is a covered Grade II listed Victorian shopping arcade.;Victorian;William H Ward
The Cube;ChIJVVWVQfW8cEgR-QD0IhVeaoQ;2010;The Cube is one of Birmingham's landmark buildings inspired by it’s industrial heritage with amenities inside.;Contemporary;Ken Shuttleworth
Library of Birmingham;ChIJzbhBevO8cEgRsizctkhHvG0;2013;Birmingham's public library has been described as the largest public library in the UK and won Architects' Journal Building of the Year 2013.;Postmodern & High-Tech;Francine Houben
Millennium Point Car Park;ChIJjfxbOYO8cEgR1uIwBHlCCgc;2012;The Millennium Point Multi-storey Car Park was selected as the winner of the 2012 Best New Car Park in the UK.;Contemporary;Urban Design
Victoria Square;ChIJyztffIu8cEgRe_pT2JyNjYc;early 1800's;Victoria Square is a pedestrianised public square home to both the Town Hall and the Council House.;Victorian;-
Hyatt Regency Birmingham;ChIJEUfiZvS8cEgRzU-BF4xMHkQ;1990;A hotel in the city centre which stands at a height of 75 metres with a blue glass exterior facade.;Modern;RHWL
Millennium Point;ChIJUcPMcYO8cEgRRii8TU3Z5Po;2001;A multi-use complex which was the largest landmark millennium project in England, outside of London.;Modern;Nicholas Grimshaw
Birmingham City Council House;ChIJJSybZoy8cEgRxFZ5Mb4LqWs;1879; A Grade II* listed building home to Birmingham City Council and one of the largest buildings in the city.;Classical;Yeoville Thomason
Birmingham Moor Street;ChIJTYhrqBi9cEgRPmMp9Ucvqx0;1909;Birmingham Moor Street is a Grade II listed building and one of three main railway stations in the city centre of Birmingham.;Victorian;-
Birmingham Methodist Central Hall;ChIJe-IVQ4W8cEgRLuCuClOjQMc;1904;A three-storey red brick and terracotta Grade II* listed building with a distinctive tower.;Victorian;Ewan Harper & James A. Harper
Blakesley Hall Museum;ChIJteBbIl-6cEgRXhZ6W9nTXCE;1590;A grade II* listed building which was a Tudor hall and is now a museum. One of the oldest buildings in Birmingham.;Tudor;-
Aston Hall;ChIJHxQRd6i8cEgRyJzQLl3B10g;1618-1635;Aston Hall is a Grade I listed Jacobean prodigy house, which is now a community museum.;Jacobean;John Thorpe
Perrott's Folly;ChIJgTmAGgC9cEgR1apbl6JUfBQ;1758;A Grade II* listed 29-metre tall tower in the Edgbaston area. Also known as The Monument, or The Observatory,;Georgian;John Perrott
Birmingham Town Hall;ChIJk-zSjIy8cEgRVbVFIwduMTc;1834;A Grade I listed concert hall and venue for popular assemblies.;Classical & Roman;Joseph Hansom & Edward Welch
Selly Manor;ChIJq6p_owfHJIgRC0rlSaA7flc;14th century or before;A Grade II listed 14th-century manor house dating back to at least 1327.;Tudor;William Alexander Harvey
The Old Crown;ChIJfa0_eoC8cEgR-aHYI6Nfidc;1450-1500;The oldest extant secular building in Birmingham. Grade II* listed, and claims to date back to c. 1368.;Tudor;-
Birmingham Back to Back;ChIJ4TKseGK8cEgREn_MweEXxyA;1840;The City's last surviving court of back-to-back houses, Grade II listed.;19th Century;-
Hall of Memory;ChIJP0P5XvO8cEgRSLUuI7iOBxE;1925;Grade I listed war memorial to commemorate the 12,320 Birmingham citizens who died in World War I.;Art Deco;S. N. Cooke and W. N. Twist
Sarehole Mill Museum;ChIJGRXhqOG7cEgRgwrYVuFTv8g;1542;Grade II listed water mill now run as a museum. One of only two working water mills in Birmingham.;Tudor;-
Highbury Hall;ChIJWeXK9Re8cEgRAJbVRSCeGbA;1879;Grade II* listed building with lots of terracotta decoration.;Venetian Gothic;J. H. Chamberlain
